Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	TotalEnvInteracts	Time
162	1016.7655	5.0962543	1022.237	1006.5575	3.7	1.4866068	6.0	1.0	815000	22630.937220811844
163	1011.87274	7.166556	1022.7441	996.777	4.2	2.9257476	10.0	1.0	820000	22737.293280124664
164	1001.8776	6.0544925	1012.036	990.931	2.5	1.3601471	5.0	0.0	825000	22842.873515844345
165	1004.83264	8.933936	1017.4664	989.0084	1.7	1.3453624	5.0	0.0	830000	22955.06091952324
166	998.28674	8.0175495	1007.1913	985.5334	2.7	2.1931713	8.0	0.0	835000	23069.473757505417
167	1004.9562	6.258232	1014.90137	992.37036	5.1	2.118962	8.0	1.0	840000	23181.453206539154
168	1008.52637	6.946899	1026.0691	1000.2776	4.1	3.04795	12.0	1.0	845000	23298.854726314545
169	1006.9404	4.624878	1013.81146	997.51514	3.0	2.4494898	9.0	0.0	850000	23415.312479496002
170	1004.99915	12.023389	1023.9633	984.43085	3.3	1.8466187	6.0	0.0	855000	23526.540870666504
171	1010.21893	8.7144375	1024.8672	999.4692	3.5	3.2634337	12.0	1.0	860000	23635.11979985237
172	1016.9624	8.536496	1029.4408	997.868	4.5	1.8574176	7.0	1.0	865000	23732.563723802567
173	987.04724	48.72136	1023.7244	855.43756	6.2	2.2715633	11.0	4.0	870000	23818.727716207504
174	1023.23114	4.991451	1031.4597	1016.5857	6.0	3.4058774	13.0	2.0	875000	23913.57655930519
175	1007.46716	8.612417	1020.49115	997.76807	5.0	1.264911	8.0	3.0	880000	24017.913344860077
176	998.1545	9.994789	1012.1506	983.3151	1.8	1.4	5.0	0.0	885000	24124.10580253601
177	985.9373	8.489003	1001.22687	975.9724	1.2	0.97979593	2.0	0.0	890000	24238.272124767303
178	997.65027	13.440932	1010.36523	965.3266	2.3	1.951922	7.0	0.0	895000	24353.683764457703
179	989.9137	12.365725	1008.8937	967.9197	1.2	1.3266499	3.0	0.0	900000	24454.493676900864
180	997.0377	12.879521	1016.1023	974.1032	1.4	1.0198039	3.0	0.0	905000	24548.479101657867
181	1000.5902	8.36681	1009.7468	979.50775	3.0	1.4832398	5.0	1.0	910000	24644.69259953499
182	985.8591	14.071389	1004.6803	956.97	2.1	1.868154	7.0	0.0	915000	24736.73943901062
183	1000.8	18.70007	1021.58374	967.9056	2.1	1.9723083	6.0	0.0	920000	24826.643305301666
184	1015.7538	5.0279737	1022.0803	1005.18835	3.6	1.8547237	7.0	1.0	925000	24910.34085392952
185	1014.31757	3.9299784	1023.0409	1007.9249	1.3	1.1874342	3.0	0.0	930000	24993.422447919846
186	1009.27966	7.4571114	1020.0536	993.12335	2.1	1.3	4.0	0.0	935000	25076.325701713562
187	1010.40564	7.1008425	1023.3504	999.20465	5.0	2.529822	9.0	1.0	940000	25162.62965965271
188	1014.7987	9.083541	1027.4525	998.18866	3.3	3.1	9.0	0.0	945000	25249.457297086716
189	1011.62775	4.9320703	1020.6714	1004.7871	2.9	1.868154	7.0	0.0	950000	25340.033042430878
190	1006.2684	5.241926	1017.35657	999.1598	4.3	2.0024984	9.0	2.0	955000	25429.80150604248
191	1011.88495	4.4317584	1018.28253	1003.77594	2.2	1.3266499	5.0	0.0	960000	25522.84158229828
192	1009.7703	7.8636765	1022.80426	993.0221	2.5	1.4317821	5.0	1.0	965000	25614.10219669342
193	1012.1877	5.3176217	1021.7043	1003.38336	1.6	1.56205	5.0	0.0	970000	25708.52869963646
194	1006.1763	8.185797	1017.288	991.50104	2.6	1.8547237	6.0	0.0	975000	25803.77331519127
195	1001.2821	19.999615	1020.8525	959.5432	1.8	1.4	4.0	0.0	980000	25895.326007127762
196	1017.8417	7.245375	1029.0631	1006.95624	9.5	8.077747	24.0	2.0	985000	25971.260140419006
197	1038.2223	8.5285635	1054.7811	1026.238	9.6	2.87054	15.0	6.0	990000	26036.834777116776
198	1027.1295	4.0832148	1036.142	1021.66296	3.7	2.0518284	8.0	1.0	995000	26123.76725745201
199	1000.4305	6.9754457	1013.4791	988.4632	1.8	1.8867962	6.0	0.0	1000000	26217.553329467773
